name;status;onSite;custom;tags
"advertising.display.offsite";"validated";"false";"false";""
"advertising.impression.offsite";"validated";"false";"false";""
"anchor";"validated";"true";"true";"AXABE"
"av.ad.click";"validated";"true";"false";"Audio / video"
"av.ad.skip";"validated";"true";"false";"Audio / video"
"av.backward";"validated";"true";"false";"Audio / video"
"av.buffer.heartbeat";"validated";"true";"false";"Audio / video"
"av.buffer.start";"validated";"true";"false";"Audio / video"
"av.close";"validated";"true";"false";"Audio / video"
"av.display";"validated";"true";"false";"Audio / video"
"av.error";"validated";"true";"false";"Audio / video"
"av.forward";"validated";"true";"false";"Audio / video"
"av.fullscreen.off";"validated";"true";"false";"Audio / video"
"av.fullscreen.on";"validated";"true";"false";"Audio / video"
"av.heartbeat";"validated";"true";"false";"Audio / video"
"av.pause";"validated";"true";"false";"Audio / video"
"av.play";"validated";"true";"false";"Audio / video"
"av.quality";"validated";"true";"false";"Audio / video"
"av.rebuffer.heartbeat";"validated";"true";"false";"Audio / video"
"av.rebuffer.start";"validated";"true";"false";"Audio / video"
"av.resume";"validated";"true";"false";"Audio / video"
"av.seek.start";"validated";"true";"false";"Audio / video"
"av.share";"validated";"true";"false";"Audio / video"
"av.speed";"validated";"true";"false";"Audio / video"
"av.start";"validated";"true";"false";"Audio / video"
"av.stop";"validated";"true";"false";"Audio / video"
"av.subtitle.off";"validated";"true";"false";"Audio / video"
"av.subtitle.on";"validated";"true";"false";"Audio / video"
"av.volume";"validated";"true";"false";"Audio / video"
"cart.awaiting_payment";"validated";"true";"false";"Sales insight"
"cart.creation";"validated";"true";"false";"Sales insight"
"cart.delivery";"validated";"true";"false";"Sales insight"
"cart.display";"validated";"true";"false";"Sales insight"
"cart.payment";"validated";"true";"false";"Sales insight"
"cart.update";"validated";"true";"false";"Sales insight"
"click.action";"validated";"true";"false";"Usability clicks"
"click.anchor";"validated";"true";"true";"Usability clicks"
"click.breadcrumb";"validated";"true";"true";"Usability clicks"
"click.campaign.offsite";"validated";"false";"false";"Sources"
"click.carousel";"validated";"true";"true";""
"click.contact_us";"validated";"true";"true";"Usability clicks"
"click.content";"validated";"true";"true";"Usability clicks"
"click.download";"validated";"true";"false";"Usability clicks"
"click.exit";"validated";"true";"false";"Usability clicks"
"click.footer";"validated";"true";"true";"Usability clicks"
"click.navigation";"validated";"true";"false";"Usability clicks"
"click.tab";"validated";"true";"true";"Usability clicks"
"click.tag";"validated";"true";"true";"Usability clicks"
"element.display";"validated";"true";"true";"AXABE"
"email.display.offsite";"validated";"false";"false";""
"error_tracking";"validated";"true";"true";"Events"
"expand";"validated";"true";"true";"AXABE"
"filter";"validated";"true";"true";"AXABE"
"form.submit";"validated";"true";"true";"Usability clicks"
"hipay";"validated";"true";"true";"AXABE"
"internal_search_result.click";"validated";"true";"false";"Internal search engine"
"internal_search_result.display";"validated";"true";"false";"Internal search engine"
"link_click";"validated";"true";"true";"Events,Usability clicks"
"more.results.display";"validated";"true";"true";"AXABE"
"mv_test.display";"validated";"true";"false";"MV Testing"
"newsletter.display";"validated";"true";"true";"Pages"
"page.display";"validated";"true";"false";"Pages"
"page.scroll";"validated";"true";"true";"Pages"
"phone.call.click";"validated";"true";"true";"AXABE"
"ping";"validated";"true";"true";"Events"
"podcast.display.offsite";"validated";"false";"false";""
"product.add_to_cart";"validated";"true";"false";"Sales insight"
"product.awaiting_payment";"validated";"true";"false";"Sales insight"
"product.display";"validated";"true";"false";"Sales insight"
"product.page_display";"validated";"true";"false";"Sales insight"
"product.purchased";"validated";"true";"false";"Sales insight"
"product.remove_from_cart";"validated";"true";"false";"Sales insight"
"professional_investor.display";"validated";"true";"true";"Pages"
"publisher.click";"validated";"true";"false";"Publisher"
"publisher.display";"validated";"true";"false";"Publisher"
"publisher.impression";"validated";"true";"false";"Publisher"
"rm.backward";"validated";"true";"false";"Rich media"
"rm.download";"validated";"true";"false";"Rich media"
"rm.email";"validated";"true";"false";"Rich media"
"rm.favor";"validated";"true";"false";"Rich media"
"rm.forward";"validated";"true";"false";"Rich media"
"rm.info";"validated";"true";"false";"Rich media"
"rm.move";"validated";"true";"false";"Rich media"
"rm.pause";"validated";"true";"false";"Rich media"
"rm.play";"validated";"true";"false";"Rich media"
"rm.refresh";"validated";"true";"false";"Rich media"
"rm.share";"validated";"true";"false";"Rich media"
"rm.stop";"validated";"true";"false";"Rich media"
"rm.volume";"validated";"true";"false";"Rich media"
"rss.display.offsite";"validated";"false";"false";""
"self_promotion.click";"validated";"true";"false";"Self promotion"
"self_promotion.display";"validated";"true";"false";"Self promotion"
"self_promotion.impression";"validated";"true";"false";"Self promotion"
"social_share.share";"validated";"true";"true";"Usability"
"st.cart.awaiting_payment";"validated";"true";"false";"ecommerce"
"st.cart.display";"validated";"true";"false";"ecommerce"
"st.product.awaiting_payment";"validated";"true";"false";"ecommerce"
"st.product.cart_display";"validated";"true";"false";"ecommerce"
"st.product.page_display";"validated";"true";"false";"ecommerce"
"st.product.purchased";"validated";"true";"false";"ecommerce"
"st.transaction.confirmation";"validated";"true";"false";"ecommerce"
"swipe";"validated";"true";"true";"Events"
"transaction.confirmation";"validated";"true";"false";"Sales insight"
"video";"validated";"true";"true";"AXABE"
